,Country,Date,Lat,Confirmed,Deaths,Recovered,Active
137,Peru,2020-04-13 05:07:23,-9.19,7519,193,1798,5528
138,Philippines,2020-04-13 05:07:23,12.879721,4648,297,197,4154
139,Poland,2020-04-13 05:07:23,51.9194,6674,232,439,6003
140,Portugal,2020-04-13 05:07:23,39.3999,16585,504,277,15804
141,Qatar,2020-04-13 05:07:23,25.3548,2979,7,275,2697
142,Romania,2020-04-13 05:07:23,45.9432,6300,316,852,5132
143,Rwanda,2020-04-13 05:07:23,-1.9403,126,0,25,101
144,Saint Kitts and Nevis,2020-04-13 05:07:23,17.357822,12,0,0,12
145,Saint Lucia,2020-04-13 05:07:23,13.9094,15,0,4,11
146,Saint Vincent and the Grenadines,2020-04-13 05:07:23,12.9843,12,0,1,11
147,San Marino,2020-04-13 05:07:23,43.9424,356,35,53,268
148,Sao Tome and Principe,2020-04-13 05:07:23,0.18636,4,0,0,4
149,Saudi Arabia,2020-04-13 05:07:23,23.885942,4462,59,761,3642
150,Senegal,2020-04-13 05:07:23,14.4974,280,2,171,107
151,Serbia,2020-04-13 05:07:23,44.0165,3630,80,0,3550
152,Seychelles,2020-04-13 05:07:23,-4.6796,11,0,0,11
153,Sierra Leone,2020-04-13 05:07:23,8.460555000000001,10,0,0,10
154,Singapore,2020-04-13 05:07:23,1.2833,2532,8,560,1964
155,Slovakia,2020-04-13 05:07:23,48.669,742,2,23,717
156,Slovenia,2020-04-13 05:07:23,46.1512,1205,53,150,1002
157,Somalia,2020-04-13 05:07:23,5.152149,25,1,2,22
158,South Africa,2020-04-13 05:07:23,-30.5595,2173,25,410,1738
159,South Sudan,2020-04-13 05:07:23,6.8770000000000024,4,0,0,4
160,Spain,2020-04-13 05:07:23,40.463667,166831,17209,62391,87231
161,Sri Lanka,2020-04-13 05:07:23,7.873054,210,7,56,147
162,Sudan,2020-04-13 05:07:23,12.8628,19,2,2,15
163,Suriname,2020-04-13 05:07:23,3.9193,10,1,4,5
164,Syria,2020-04-13 05:07:23,34.802075,25,2,5,18
165,Taiwan*,2020-04-12 07:18:31,23.7,388,6,109,273
166,Tanzania,2020-04-13 05:07:23,-6.369028,32,3,5,24
167,Thailand,2020-04-13 05:07:23,15.870032,2551,38,1218,1295
168,Timor-Leste,2020-04-13 05:07:23,-8.874217,2,0,1,1
169,Togo,2020-04-13 05:07:23,8.6195,76,3,29,44
170,Trinidad and Tobago,2020-04-13 05:07:23,10.6918,113,8,16,89
171,Tunisia,2020-04-13 05:07:23,33.886917,707,31,43,633
172,Turkey,2020-04-13 05:07:23,38.9637,56956,1198,3446,52312
173,Uganda,2020-04-13 05:07:23,1.373333,54,0,4,50
174,Ukraine,2020-04-13 05:07:23,48.3794,2777,83,89,2605
175,United Arab Emirates,2020-04-13 05:07:23,23.424076,4123,22,680,3421
176,Uruguay,2020-04-13 05:07:23,-32.5228,480,8,231,241
177,Uzbekistan,2020-04-13 05:07:23,41.377491,865,4,66,795
178,Venezuela,2020-04-13 05:07:23,6.4238,181,9,93,79
179,Vietnam,2020-04-13 05:07:23,14.058323999999999,262,0,144,118
180,West Bank and Gaza,2020-04-13 05:07:23,31.9522,290,2,58,230
181,Western Sahara,2020-04-13 05:07:23,24.2155,6,0,0,6
182,Yemen,2020-04-13 05:07:23,15.552726999999999,1,0,0,1
183,Zambia,2020-04-13 05:07:23,-13.133897,43,2,30,11
184,Zimbabwe,2020-04-13 05:07:23,-19.015438,14,3,0,11
